Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
390,Timmy Lopes,2B,SEA,42,0.259,111,30,1,12,0.27,0.72,$0
391,Josh Rojas,2B,ARI,41,0.253,138,30,2,16,0.217,0.624,"$700,000"
392,Daniel Descalso,2B,CHC,82,0.506,168,29,2,15,0.173,0.521,$0
393,Tyler Austin,1B,MIL,89,0.549,154,29,9,24,0.188,0.705,$0
394,Andrew Knapp,C,PHI,74,0.457,136,29,2,8,0.213,0.642,"$700,000"
395,Reese McGuire,C,TOR,30,0.185,97,29,5,11,0.299,0.872,"$722,400"
396,Mauricio Dubon,SS,SF,30,0.185,106,29,4,9,0.274,0.74,"$700,000"
397,Pablo Reyes,LF,PIT,72,0.444,143,29,2,19,0.203,0.596,$0
398,Odubel Herrera,CF,PHI,39,0.241,126,28,1,16,0.222,0.629,"$1,750,000"
399,Meibrys Viloria,C,KC,42,0.259,133,28,1,15,0.211,0.544,$0
400,Derek Fisher,RF,TOR,58,0.358,146,27,7,17,0.185,0.657,$0
401,Justin Bour,1B,LAA,52,0.321,151,26,8,26,0.172,0.623,$0
402,Tomas Nido,C,NYM,50,0.309,136,26,4,14,0.191,0.547,"$890,000"
403,Sean Rodriguez,2B,PHI,76,0.469,112,25,4,12,0.223,0.723,$0
404,Chris Owings,2B,BOS,67,0.414,180,25,3,14,0.139,0.443,"$700,000"
405,J.T. Riddle,SS,MIA,51,0.315,132,25,6,12,0.189,0.601,$0
406,Humberto Arteaga,SS,KC,41,0.253,122,24,0,4,0.197,0.487,$0
407,Roman Quinn,CF,PHI,44,0.272,108,23,4,11,0.213,0.668,$0
408,Tyler Wade,2B,NYY,43,0.265,94,23,2,11,0.245,0.692,"$825,000"
409,Willi Castro,SS,DET,30,0.186,100,23,1,8,0.23,0.624,$0
410,Michael Taylor,CF,WSH,53,0.327,88,22,1,3,0.25,0.669,"$4,500,000"
411,Cory Spangenberg,2B,MIL,32,0.198,95,22,2,10,0.232,0.635,$0
412,Nico Hoerner,SS,CHC,20,0.124,78,22,3,17,0.282,0.741,"$700,000"
413,Ryan McBroom,1B,KC,23,0.142,75,22,0,6,0.293,0.721,$0
414,Seth Brown,1B,OAK,26,0.161,75,22,0,13,0.293,0.815,"$700,000"
415,Austin Hays,RF,BAL,21,0.13,68,21,4,13,0.309,0.947,"$700,000"
416,Nick Martini,RF,SD,32,0.198,93,21,1,7,0.226,0.653,$0
417,Sam Hilliard,RF,COL,27,0.167,77,21,7,13,0.273,1.006,"$700,000"
418,Yonathan Daza,RF,COL,44,0.272,97,20,0,3,0.206,0.494,"$700,000"
419,Kris Negron,2B,LAD,40,0.247,77,19,2,8,0.247,0.63,$0
