"Rank","Player","Year","Pos","Team","BaseSalary","Payroll Salary","Adj Salary",""
"","Dylan Bundy","2021","SP","LAA","$8,325,000","$8,325,000","$8,325,000",""
"","Eduardo Rodriguez","2021","SP","BOS","$8,300,000","$8,300,000","$8,300,000",""
"","Jorge Soler","2021","DH","ATL","$8,050,000","$8,250,000","$2,813,172",""
"","James McCann","2021","C","NYM","$8,000,000","$8,150,000","$8,150,000",""
"","Wade Miley","2021","SP","CIN","$8,000,000","$8,150,000","$8,150,000",""
"","Nick Ahmed","2021","SS","ARI","$7,500,000","$8,125,000","$8,125,000",""
"","Jordan Lyles","2021","SP","TEX","$8,000,000","$8,000,000","$8,000,000",""
"","Drew Pomeranz","2021","RP","SD","$6,000,000","$8,000,000","$8,000,000",""
"","J.A. Happ","2021","SP","STL","$8,000,000","$8,000,000","$2,795,715",""
"","Adam Wainwright","2021","SP","STL","$8,000,000","$8,000,000","$8,000,000",""
"","Kole Calhoun","2021","RF","ARI","$8,000,000","$8,000,000","$8,000,000",""
"","Trevor May","2021","RP","NYM","$7,750,000","$8,000,000","$8,000,000",""
"","Will Harris","2021","RP","WSH","$8,000,000","$8,000,000","$8,000,000",""
"","Travis d'Arnaud","2021","C","ATL","$8,000,000","$8,000,000","$8,000,000",""
"","Eddie Rosario","2021","LF","ATL","$8,000,000","$8,000,000","$2,795,715",""
"","Ian Desmond","2021","CF","COL","$8,000,000","$8,000,000","$8,000,000",""
"","Robbie Ray","2021","SP","TOR","$8,000,000","$8,000,000","$8,000,000",""
"","Blake Treinen","2021","RP/CL","LAD","$6,000,000","$8,000,000","$8,000,000",""
"","German Marquez","2021","SP","COL","$7,500,000","$7,800,000","$7,800,000",""
"","Chris Taylor","2021","2B","LAD","$7,800,000","$7,800,000","$7,800,000",""
"","Felipe Vazquez","2021","RP","PIT","$7,250,000","$7,750,000","$7,750,000",""
"","Stephen Piscotty","2021","RF","OAK","$7,250,000","$7,583,333","$7,583,333",""
"","David Peralta","2021","LF","ARI","$7,500,000","$7,500,000","$7,500,000",""
"","Kolten Wong","2021","2B","MIL","$7,000,000","$7,500,000","$2,000,000",""
"","Eduardo Escobar","2021","3B","MIL","$7,500,000","$7,500,000","$2,661,318",""
"","Whit Merrifield","2021","RF","KC","$6,750,000","$7,450,000","$7,450,000",""
"","Tim Anderson","2021","SS","CHW","$7,250,000","$7,250,000","$7,250,000",""
"","Carlos Santana","2021","1B","KC","$7,000,000","$7,250,000","$7,250,000",""
"","Adam Ottavino","2021","RP","BOS","$7,150,000","$7,225,044","$7,225,044",""
"","Lance McCullers","2021","SP","HOU","$6,500,000","$7,083,333","$7,083,333",""
"","Ha-seong Kim","2021","SS","SD","$7,000,000","$7,000,000","$7,000,000",""
"","Edwin Diaz","2021","RP/CL","NYM","$7,000,000","$7,000,000","$7,000,000",""
"","Kyle Schwarber","2021","LF","BOS","$7,000,000","$7,000,000","$2,459,459",""
"","Chris Martin","2021","RP","ATL","$7,000,000","$7,000,000","$7,000,000",""
"","Shogo Akiyama","2021","CF","CIN","$7,000,000","$7,000,000","$7,000,000",""
"","Mike Minor","2021","SP","KC","$7,000,000","$7,000,000","$7,000,000",""
"","Mark Canha","2021","LF","OAK","$6,925,000","$6,925,000","$6,925,000",""
"","Yoan Moncada","2021","3B","CHW","$6,000,000","$6,800,000","$6,800,000",""
"","Josh Hader","2021","RP/CL","MIL","$6,675,000","$6,675,000","$6,675,000",""
"","Willson Contreras","2021","C","CHC","$6,650,000","$6,650,000","$6,650,000",""
"","Andrew Benintendi","2021","LF","KC","$6,600,000","$6,600,000","$3,800,000",""
"","Matt Boyd","2021","SP","DET","$6,500,000","$6,500,000","$6,500,000",""
"","Jackie Bradley Jr.","2021","CF","MIL","$6,500,000","$6,500,000","$6,500,000",""
"","Chris Archer","2021","SP","TB","$6,500,000","$6,500,000","$6,500,000",""
"","Max Kepler","2021","RF","MIN","$6,500,000","$6,500,000","$6,500,000",""
"","Matt Chapman","2021","3B","OAK","$6,490,000","$6,490,000","$6,490,000",""
"","Josh Bell","2021","1B","WSH","$6,350,000","$6,350,000","$6,350,000",""
"","Gary Sanchez","2021","C","NYY","$6,350,000","$6,350,000","$6,350,000",""
"","Christian Vazquez","2021","C","BOS","$6,250,000","$6,250,000","$6,250,000",""
"","Joey Gallo","2021","RF","NYY","$6,200,000","$6,200,000","$0",""
"","Anthony DeSclafani","2021","SP","SF","$6,000,000","$6,125,000","$6,125,000",""
"","Yan Gomes","2021","C","OAK","$6,000,000","$6,000,000","$2,096,770",""
