Jugador,Juegos,Wins,Saves,WHIP,ERA,Equipo,Sueldo,Agente libre
Jorge De La Rosa,66,3,0,1.3,4.21,ARI,2250000,No
Sean Doolittle,53,2,24,0.86,2.81,WSH,2630000,No
Andrew Chafin,71,1,0,1.34,3.51,ARI,559300,No
Luke Jackson,43,2,0,1.46,4.62,ATL,535000,No
Joaquin Benoit,52,1,2,1.29,4.65,PIT,7500000,Si
Aroldis Chapman,52,4,22,1.13,3.22,NYY,17200000,Si
Michael Dunn,68,5,0,1.41,4.47,COL,4000000,Si
Emilio Pagan,34,2,0,0.93,3.22,SEA,535000,No
Matt Grace,40,1,2,1.36,4.32,WSH,535000,No
Dillon Gee,18,3,1,1.4,3.47,MIN,535000,No
Danny Farquhar,52,4,0,1.36,4.2,CHW,535000,No
James Hoyt,43,1,0,1.32,4.38,HOU,535000,No
Jerry Blevins,75,6,1,1.37,2.94,NYM,5500000,Si
Ian Krol,51,2,0,1.45,5.33,ATL,900000,No
Jose Alvarez,64,0,1,1.27,3.88,LAA,557000,No
Tom Milone,17,1,1,1.63,7.63,NYM,1250000,Si
Buck Farmer,11,5,0,1.54,6.75,DET,535000,No
Michael Feliz,46,4,0,1.56,5.63,HOU,546200,No
Justin Nicolino,20,2,0,1.79,5.06,MIA,535000,No
Chris Flexen,14,3,0,2.02,7.88,NYM,535000,No
Trevor Rosenthal,50,3,11,1.2,3.4,STL,6400000,No
Reynaldo Lopez,8,3,0,1.34,4.53,CHW,535000,No
Josh Hader,35,2,0,0.99,2.09,MIL,535000,No
Brad Ziegler,53,1,10,1.55,4.79,MIA,7000000,Si
Dan Altavilla,41,1,0,1.35,4.24,SEA,536100,No
Chad Bettis,9,2,0,1.36,5.05,COL,545000,No
Jake Thompson,12,3,0,1.55,3.89,PHI,535000,No
Luis Avilan,61,2,0,1.39,2.94,LAD,1500000,No
Jose Leclerc,47,2,2,1.38,3.94,TEX,536000,No
Will Harris,46,3,2,0.97,2.98,HOU,2200000,No
Nate Karns,9,2,0,1.19,4.17,KC,571000,No
Chasen Shreve,44,4,0,1.32,3.77,NYY,552425,No
Lucas Giolito,7,3,0,0.95,2.38,CHW,535000,No
Kevin McCarthy,33,1,0,1.38,3.0,KC,535000,No
Steve Cishek,49,3,1,0.9,2.02,TB,6000000,No
Cam Bedrosian,48,6,6,1.3,4.43,LAA,555000,No
Brian Ellington,42,1,0,1.86,7.25,MIA,535000,No
Joe Blanton,51,2,0,1.47,5.68,WSH,4000000,Si
Brandon Morrow,45,6,2,0.92,2.06,LAD,1250000,No
Fernando Abad,48,2,1,1.24,3.3,BOS,2000000,No
Juan Minaya,40,3,9,1.33,4.53,CHW,535000,No
Donnie Hart,51,2,0,1.4,3.71,BAL,538500,No
Josh Osich,54,3,0,1.73,6.23,SF,535000,No
Koji Uehara,49,3,2,1.16,3.98,CHC,6000000,Si
Daniel Mengden,7,3,0,1.05,3.14,OAK,537500,No
Phil Maton,46,3,1,1.28,4.19,SD,535000,No
Brandon Woodruff,8,2,0,1.33,4.81,MIL,535000,No
Tony Cingrani,47,0,0,1.22,4.22,LAD,1825000,No
Sam Tuivailala,37,3,0,1.09,2.55,STL,536500,No
Nick Wittgren,38,3,0,1.39,4.68,MIA,535000,No
Ryan Dull,49,2,0,1.26,5.14,OAK,540000,No
Trevor Hildenberger,37,3,1,1.05,3.21,MIN,535000,No
Miguel Diaz,31,1,0,1.66,7.34,SD,535000,No
Blaine Boyer,32,1,0,1.55,4.36,BOS,535000,No
J.J. Hoover,52,3,0,1.77,3.92,ARI,900000,No
Andrew Albers,9,5,1,1.29,3.51,SEA,535000,No
Jason Motte,46,1,0,1.18,3.54,ATL,535000,No
Tony Zych,45,6,1,1.25,2.66,SEA,539600,No
Jason Grilli,46,2,1,1.63,6.53,TEX,3000000,No
Marco Gonzales,11,1,0,1.75,6.08,SEA,535000,No
Brandon Workman,33,1,0,1.21,3.4,BOS,635000,No
Kevin Siegrist,46,1,1,1.52,4.35,PHI,1637500,No
Jonathan Holder,37,1,0,1.35,3.89,NYY,536875,No
Keone Kela,39,4,2,0.9,2.79,TEX,543210,No
Daniel Stumpf,55,0,0,1.38,3.82,DET,535000,No
Tony Sipp,46,0,0,1.39,5.79,HOU,6000000,No
Zack Britton,38,2,15,1.53,2.89,BAL,11400000,No
Derek Law,41,4,4,1.58,5.06,SF,545000,No
Aaron Sanchez,8,1,0,1.72,4.25,TOR,535000,No
Luis Cessa,10,0,0,1.47,4.75,NYY,535000,No
Robby Scott,57,2,0,0.98,3.79,BOS,537000,No
Buddy Boshers,38,1,0,1.34,4.89,MIN,535000,No
Gabriel Ynoa,9,2,0,1.33,3.64,BAL,535000,No
Matthew Strahm,24,2,0,1.5,5.45,SD,538900,No
Steven Brault,12,1,1,1.59,4.67,PIT,535000,No
Drew Steckenrider,37,1,1,1.38,2.34,MIA,535000,No
Drew VerHagen,24,0,0,1.49,5.77,DET,535000,No
Brock Stewart,17,0,1,1.37,3.41,LAD,537500,No
Felix Pena,25,1,0,1.54,5.24,CHC,535000,No
Chasen Bradford,28,2,0,1.28,3.74,NYM,535000,No
Blaine Hardy,35,1,0,1.77,5.94,DET,535000,No
Oliver Perez,50,0,1,1.33,4.64,WSH,4000000,No
Wei-Yin Chen,9,2,0,1.03,3.82,MIA,15500000,No
Chris O'Grady,13,2,0,1.54,4.36,MIA,535000,No
Bryan Mitchell,20,1,1,1.65,5.79,NYY,550625,No
Austin Brice,22,0,0,1.22,4.96,CIN,535000,No
Matt Wisler,20,0,0,1.73,8.35,ATL,535000,No
Kyle Crick,30,0,0,1.21,3.06,SF,535000,No
Carlos Estevez,35,5,0,1.64,5.57,COL,537000,No
A.J. Schugel,32,4,0,1.41,1.97,PIT,535000,No
Albert Suarez,18,0,1,1.23,5.12,SF,535000,No
Alan Busenitz,28,1,0,0.98,1.99,MIN,535000,No
Marc Rzepczynski,64,2,1,1.56,4.02,SEA,5500000,Si
Hoby Milner,37,0,0,1.47,2.01,PHI,535000,No
Dillon Peters,6,1,0,1.63,5.17,MIA,535000,No
Hisashi Iwakuma,6,0,0,1.26,4.36,SEA,14000000,No
Cesar Valdez,11,1,0,1.7,7.63,TOR,535000,No
Kevin Shackelford,26,0,0,1.4,4.7,CIN,535000,No
Noah Syndergaard,7,1,0,1.05,2.97,NYM,605500,No
Mark Melancon,32,1,11,1.43,4.5,SF,14000000,Si
Jose Alvarado,35,0,0,1.11,3.64,TB,535000,No
Ricardo Pinto,26,1,0,1.89,7.28,PHI,535000,No
