Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Wesley Wright,2014,UFA,TB,1,1425000,1425000,RP,58,0,48.3,48,19,17,19,37,0,3,0,1.39,3.17,CHC,1425000,1425000,1425000,0.08511617207269381,0.0437083045778698,1.9473684210526316,3364,0,2332.89,2304,361,289,361,1369,0,9,0,1.9320999999999997,10.0489,0.001910415889071834,3.79224376731302,11316496
Kevin Gregg,2014,UFA,CHC,1,1286387,1286387,RP,12,0,9.0,11,10,10,5,6,0,0,0,1.78,10.0,MIA,1286387,1286387,1286387,0.07407407407407407,0.06172839506172839,1.2,144,0,81.0,121,100,100,25,36,0,0,0,3.1684,100.0,0.0038103947568968143,1.44,20736
Pat Neshek,2014,UFA,OAK,1,1000000,1000000,RP,71,0,67.3,44,14,14,9,68,7,2,6,0.79,1.87,STL,1000000,1000000,1000000,0.11226679874525344,0.01485884101040119,7.555555555555555,5041,0,4529.29,1936,196,196,81,4624,49,4,36,0.6241000000000001,3.4969000000000006,0.00022078515617238024,57.08641975308642,25411681
Scott Baker,2014,UFA,CHC,1,1000000,1000000,SP,25,8,80.7,82,49,49,14,55,3,4,0,1.19,5.47,TEX,1000000,1000000,1000000,0.07572628390472257,0.019275781357565743,3.9285714285714284,625,64,6512.490000000001,6724,2401,2401,196,3025,9,16,0,1.4161,29.920899999999996,0.00037155574694467904,15.433673469387754,390625
John Baker,2014,UFA,LAD,1,875000,875000,C,68,51,1.0,0,0,0,1,0,1,0,0,1.0,0.0,CHC,875000,875000,875000,0.0,0.1111111111111111,0.0,4624,2601,1.0,0,0,0,1,0,1,0,0,1.0,0.0,0.012345679012345678,0.0,21381376
Zach Duke,2014,UFA,CIN,1,850000,850000,RP,74,0,58.7,49,19,16,17,74,5,1,0,1.13,2.46,MIL,850000,850000,850000,0.14007192882831723,0.032178686352451254,4.352941176470588,5476,0,3445.6900000000005,2401,361,256,289,5476,25,1,0,1.2768999999999997,6.0516,0.0010354678553694326,18.948096885813147,29986576
Rich Hill,2014,UFA,CLE,1,840000,840000,SP,16,0,5.3,7,2,2,6,9,0,0,0,2.44,3.38,NYY,500000,500000,142076,0.18867924528301888,0.12578616352201258,1.5,256,0,28.09,49,4,4,36,81,0,0,0,5.9536,11.424399999999999,0.01582215893358649,2.25,65536
Daniel Hudson,2014,UFA,ARI,1,700000,700000,RP,3,0,2.7,4,4,4,0,2,0,1,0,1.5,13.5,ARI,700000,700000,700000,0.0823045267489712,0.0,inf,9,0,7.290000000000001,16,16,16,0,4,0,1,0,2.25,182.25,0.0,inf,81
Tony Sipp,2014,UFA,ARI,1,500000,500000,RP,56,0,50.7,28,19,19,17,63,4,3,4,0.89,3.38,HOU,500000,500000,407103,0.1380670611439842,0.037256191102344946,3.7058823529411766,3136,0,2570.4900000000002,784,361,361,289,3969,16,9,16,0.7921,11.424399999999999,0.0013880237754544467,13.733564013840832,9834496
Dylan Axelrod,2014,UFA,CHW,1,500000,500000,RP,5,4,18.3,14,6,6,4,20,2,1,0,0.98,2.95,CIN,500000,500000,90163,0.1214329083181542,0.024286581663630843,5.0,25,16,334.89000000000004,196,36,36,16,400,4,1,0,0.9603999999999999,8.7025,0.0005898380489042099,25.0,625
Zach Putnam,2014,UFA,CHC,1,500000,500000,RP,49,0,54.7,39,14,12,20,46,5,3,6,1.08,1.98,CHW,500000,500000,363387,0.09343895998374975,0.040625634775543366,2.3,2401,0,2992.09,1521,196,144,400,2116,25,9,36,1.1664,3.9204,0.0016504422009158384,5.289999999999999,5764801
Nick Massett,2014,UFA,CIN,1,0,0,RP,51,0,45.0,56,31,29,24,36,2,0,0,1.78,5.8,COL,1200000,1200000,1200000,0.08888888888888889,0.05925925925925926,1.5,2601,0,2025.0,3136,961,841,576,1296,4,0,0,3.1684,33.64,0.0035116598079561047,2.25,6765201
Tsuyoshi Wada,2014,UFA,BAL,1,0,0,SP,13,13,69.3,67,28,25,19,57,4,4,0,1.24,3.25,CHC,500000,500000,183060,0.0913900913900914,0.030463363796697132,3.0,169,169,4802.49,4489,784,625,361,3249,16,16,0,1.5376,10.5625,0.0009280165338099175,9.0,28561
Heath Bell,2014,UFA,TB,1,0,0,RP,13,0,17.3,24,16,14,8,12,1,1,0,1.85,7.27,TB,9000000,10000000,5500000,0.07707129094412331,0.051380860629415534,1.5,169,0,299.29,576,256,196,64,144,1,1,0,3.4225000000000003,52.85289999999999,0.0026399928390194232,2.25,28561
Wade LeBlanc,2014,UFA,HOU,1,0,0,RP,11,3,29.7,27,13,13,7,21,1,1,0,1.15,3.94,LAA,500000,500000,92896,0.07856341189674523,0.026187803965581742,3.0,121,9,882.0899999999999,729,169,169,49,441,1,1,0,1.3224999999999998,15.5236,0.0006858010765397388,9.0,14641
Jim Johnson,2014,UFA,OAK,1,0,0,RP,54,0,53.3,69,46,42,35,42,5,2,2,1.95,7.09,DET,500000,500000,117486,0.08755472170106317,0.07296226808421931,1.2,2916,0,2840.89,4761,2116,1764,1225,1764,25,4,4,3.8024999999999998,50.2681,0.005323492563993487,1.44,8503056
Jose Veras,2014,UFA,CHC,1,0,0,RP,46,0,46.0,37,25,23,27,50,4,1,1,1.39,4.5,HOU,500000,500000,256830,0.12077294685990338,0.06521739130434782,1.8518518518518519,2116,0,2116.0,1369,625,529,729,2500,16,1,1,1.9320999999999997,20.25,0.004253308128544423,3.4293552812071333,4477456
Jeremy Jeffress,2014,UFA,TOR,1,0,0,RP,32,0,32.0,35,10,10,10,29,1,1,0,1.41,2.81,MIL,507600,507600,194163,0.10069444444444445,0.034722222222222224,2.9,1024,0,1024.0,1225,100,100,100,841,1,1,0,1.9880999999999998,7.896100000000001,0.0012056327160493829,8.41,1048576
