Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
LAD,6.6,2014,4,1,5,25,0,0,5,11,39,Los Angeles Dodgers,TB,California,0,0,61,161,3721,Jamey Wright,0.0,0.0,25,240,28,0.0,0.0,0.377,0.142129,RP,0.577639751552795,0,0,UFA,1800000,1800000,1800000,37.98,1442.4803999999997,1800000,61150000,1800000,93,-0.2,0.04000000000000001,6,14.403297222866392,14.403297222866392,14.403297222866392
MIA,6.4,2014,4,3,373,139129,82,6724,2,10,29,Miami Marlins,BOS,Florida,11,121,114,162,12996,Jarrod Saltalamacchia,0.681,0.4637610000000001,2,235,2,0.22,0.0484,0.704,0.49561599999999995,C,0.4753086419753086,44,1936,UFA,6000000,6000000,6000000,24.06,578.8835999999999,21000000,39486387,7000000,77,0.48,0.2304,2,15.60727002719233,15.60727002719233,15.60727002719233
OAK,6.6,2014,4,1,37,1369,5,25,5,5,31,Oakland Athletics,BAL,California,0,0,30,162,900,Jason Hammel,0.293,0.085849,15,225,26,0.135,0.018225,0.185,0.034225,SP,0.5432098765432098,3,9,UFA,6000000,6000000,2852459,0.0,0.0,6000000,32800000,6000000,88,3.21,10.3041,9,15.60727002719233,15.60727002719233,14.863691987258365
MIA,6.2,2014,4,2,208,43264,55,3025,2,10,33,Miami Marlins,TEX,Florida,3,9,90,162,8100,Jeff Baker,0.701,0.4914009999999999,2,205,2,0.264,0.06969600000000001,0.556,0.3091360000000001,1B,0.4753086419753086,28,784,UFA,1600000,1600000,1600000,0.0,0.0,3700000,39486387,1850000,77,,,2,14.28551418721001,14.28551418721001,14.28551418721001
SD,6.4,2014,4,1,24,576,2,4,5,7,30,San Diego Padres,CLE,California,0,0,10,161,100,Jeff Francoeur,0.262,0.06864400000000001,2,220,5,0.083,0.006889000000000001,0.062,0.0038439999999999998,LF,0.4782608695652174,1,1,UFA,1000000,1000000,103825,0.0,0.0,925000,25700000,925000,77,-0.34,0.11560000000000002,0,13.815510557964274,13.815510557964274,11.550462068498954
KC,6.1,2013,4,3,5,25,0,0,2,4,35,Kansas City Royals,KC,Missouri,0,0,33,162,1089,Jeremy Guthrie,0.167,0.027889000000000004,3,205,8,0.0,0.0,0.204,0.04161599999999999,SP,0.5493827160493827,0,0,UFA,8000000,8000000,8000000,34.33,1178.5488999999998,25000000,66500000,8333333,89,1.14,1.2995999999999999,1,15.89495209964411,15.89495209964411,15.89495209964411
STL,6.2,2014,4,4,560,313600,147,21609,2,5,32,St. Louis Cardinals,DET,Missouri,21,441,157,161,24649,Jhonny Peralta,0.779,0.6068410000000001,23,229,27,0.263,0.06916900000000001,0.969,0.9389609999999999,3B,0.5527950310559007,75,5625,UFA,15500000,15500000,15500000,69.21,4790.024099999999,53000000,59750000,13250000,89,5.94,35.28360000000001,11,16.556350581889475,16.556350581889475,16.556350581889475
DET,6.6,2014,4,1,1,1,0,0,1,5,31,Detroit Tigers,OAK,Michigan,0,0,54,162,2916,Jim Johnson,0.0,0.0,11,250,16,0.0,0.0,0.333,0.11088900000000002,RP,0.5555555555555556,0,0,UFA,500000,500000,117486,3.09,9.5481,0,33500000,0,90,-1.31,1.7161000000000002,4,13.122363377404328,13.122363377404328,11.674074456531383
DET,6.3,2014,4,1,1,1,0,0,1,5,28,Detroit Tigers,NYY,Michigan,0,0,69,162,4761,Joba Chamberlain,0.0,0.0,11,245,16,0.0,0.0,0.426,0.181476,RP,0.5555555555555556,0,0,UFA,3000000,2500000,3000000,28.25,798.0625,2500000,33500000,2500000,90,0.91,0.8281000000000001,4,14.914122846632385,14.73180128983843,14.914122846632385
CHC,6.1,2014,4,1,182,33124,35,1225,2,13,33,Chicago Cubs,LAD,Illinois,0,0,68,162,4624,John Baker,0.504,0.254016,17,213,16,0.192,0.036864,0.42,0.17639999999999997,C,0.4506172839506173,15,225,UFA,875000,875000,875000,0.0,0.0,875000,9650000,875000,73,,,2,13.681979165339751,13.681979165339751,13.681979165339751
