"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Derek Holland","SP","TEX","1.00","0.20","1.00","0.20","0.15","0.00","0.00","0.00","0.00","0.00","0.000","0.286","0.000","0.286","0.00","$0",""
"","Ross Detwiler","SP","WSH","1.00","0.08","1.00","0.08","1.69","0.15","0.00","0.00","0.00","0.00","0.091","0.130","0.091","0.221","0.00","$0",""
"","Tim Stauffer","RP","SD","1.00","0.27","0.00","0.00","0.19","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Bruce Chen","RP","KC","1.00","0.21","0.44","0.09","0.06","0.03","0.00","0.00","0.00","0.00","0.500","0.500","0.500","1.000","0.00","$0",""
"","Brandon Beachy","SP","ATL","1.00","0.03","1.00","0.03","1.60","0.20","0.00","0.00","0.00","0.00","0.125","0.222","0.125","0.347","0.00","$0",""
"","Jake Arrieta","SP","CHC","1.00","0.09","1.00","0.09","1.07","0.14","0.00","0.00","0.00","0.14","0.133","0.133","0.133","0.267","0.00","$0",""
"","Lucas Harrell","RP","HOU","1.00","0.23","0.59","0.14","0.11","0.03","0.00","0.00","0.00","0.00","0.250","0.500","0.250","0.750","0.00","$0",""
"","Sergio Santos","CL","TOR","1.00","0.18","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Juan Nicasio","RP","COL","1.00","0.19","1.00","0.19","1.16","0.16","0.00","0.00","0.00","0.10","0.139","0.225","0.139","0.364","0.00","$0",""
"","Esmil Rogers","RP","TOR","1.00","0.28","0.43","0.12","0.07","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Bud Norris","SP","BAL","1.00","0.20","0.94","0.19","0.22","0.09","0.00","0.00","0.00","0.00","0.429","0.429","0.429","0.857","0.00","$0",""
"","Fernando Salas","RP","STL","1.00","0.17","0.00","0.00","0.07","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Scott Sizemore","2B","OAK","1.00","0.01","1.00","0.01","3.00","0.50","0.50","0.00","0.00","0.00","0.167","0.167","0.333","0.500","0.00","$0",""
"","Danny Worth","2B","DET","1.00","0.02","0.00","0.00","0.67","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Drew Butera","C","LAD","1.00","0.04","0.33","0.01","1.67","0.17","0.00","0.00","0.00","0.00","0.100","0.100","0.100","0.200","0.00","$0",""
"","Jeff Manship","RP","COL","1.00","0.07","0.36","0.02","0.64","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Jenrry Mejia","RP","NYM","1.00","0.04","0.83","0.03","1.83","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Jonathan Niese","RP","NYM","1.00","0.15","1.00","0.15","1.63","0.33","0.08","0.00","0.00","0.17","0.205","0.279","0.256","0.535","0.00","$0",""
"","Ruben Tejada","SS","NYM","1.00","0.35","0.96","0.34","3.65","0.74","0.21","0.00","0.00","0.18","0.202","0.259","0.260","0.519","0.00","$0",""
"","Michael Martinez","2B","PHI","1.00","0.18","0.24","0.04","1.38","0.24","0.00","0.00","0.00","0.10","0.175","0.175","0.175","0.350","0.00","$0",""
"","Vance Worley","RP","MIN","1.00","0.06","1.00","0.06","0.10","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
