Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Wil Nieves,0.198,8,0.301,0.739,ARI,800000,Si
Donnie Murphy,0.321,12,0.216,0.661,MIA,560000,No
Sam Fuld,0.272,5,0.255,0.644,TB,489400,No
Ryan Lavarnway,0.284,12,0.157,0.459,BOS,480000,No
Pete Kozma,0.161,14,0.333,0.952,STL,480000,No
Andy Parrino,0.34,6,0.207,0.592,SD,481000,No
Daric Barton,0.284,6,0.204,0.63,OAK,1100000,No
Brett Hayes,0.241,3,0.202,0.483,MIA,480000,No
Adam Rosales,0.259,8,0.222,0.631,OAK,600000,No
Brandon Hicks,0.136,14,0.172,0.633,OAK,480000,No
Brandon Hicks,0.136,14,0.172,0.633,OAK,480000,No
Ryan Kalish,0.222,5,0.229,0.532,BOS,483000,No
Drew Butera,0.259,5,0.198,0.55,MIN,480000,No
Wilson Ramos,0.154,10,0.265,0.752,WSH,491250,No
Alex Gonzalez,0.148,15,0.259,0.783,MIL,3500000,Si
Nolan Reimold,0.099,10,0.313,0.96,BAL,490500,No
Don Kelly,0.463,7,0.186,0.523,DET,900000,No
Matt Adams,0.167,13,0.244,0.669,STL,480000,No
Carlos Corporan,0.167,13,0.269,0.758,HOU,480000,No
Brett Jackson,0.272,9,0.175,0.644,CHC,157377,No
Jason Giambi,0.37,8,0.225,0.675,COL,1000000,No
Dioner Navarro,0.148,12,0.29,0.755,CIN,800000,Si
Brent Morel,0.216,5,0.177,0.42,CHW,490000,No
Michael Martinez,0.278,7,0.174,0.461,PHI,486500,No
Munenori Kawasaki,0.377,7,0.192,0.459,SEA,625000,No
A.J. Pollock,0.191,8,0.247,0.71,ARI,480000,No
Brandon Barnes,0.265,7,0.204,0.515,HOU,480000,No
Brock Holt,0.148,3,0.292,0.682,PIT,480000,No
Tony Abreu,0.136,15,0.257,0.641,KC,480000,No
Brandon Snyder,0.247,9,0.277,0.755,TEX,481000,No
Mike Leake,0.216,3,0.295,0.749,CIN,507500,No
Eric Sogard,0.228,7,0.167,0.48,OAK,482500,No
Danny Worth,0.265,3,0.216,0.586,DET,482000,No
Jason Bourgeois,0.185,5,0.258,0.626,KC,488000,No
Matt Hague,0.185,7,0.229,0.527,PIT,480000,No
Cole Hamels,0.191,5,0.217,0.56,PHI,15000000,No
Jordan Danks,0.309,4,0.224,0.564,CHW,480000,No
Avisail Garcia,0.142,3,0.319,0.692,DET,480000,No
Jimmy Paredes,0.148,3,0.189,0.474,HOU,480000,No
David Lough,0.124,2,0.237,0.597,KC,480000,No
Matt Cain,0.216,6,0.176,0.441,SF,16266666,No
Edwin Jackson,0.21,0,0.228,0.495,WSH,11000000,Si
Chris Coghlan,0.241,10,0.14,0.394,MIA,500000,No
Stephen Strasburg,0.173,7,0.277,0.759,WSH,4875000,No
Steve Tolleson,0.179,6,0.183,0.537,BAL,480000,No
Jordy Mercer,0.259,5,0.21,0.636,PIT,480000,No
Jeff Bianchi,0.204,9,0.188,0.578,MIL,480000,No
Jake Elmore,0.185,7,0.191,0.497,ARI,480000,No
Tim Hudson,0.179,6,0.218,0.523,ATL,9000000,No
