Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Jaime Barria,SP,26,0.161,5,0,0,0,0.0,0.0,LAA,545000,No
Jonathan Loaisiga,RP,9,0.056,2,0,0,0,0.0,0.0,NYY,545000,No
Yonny Chirinos,RP,18,0.111,1,0,0,0,0.0,0.0,TB,545000,No
Ryan Yarbrough,RP,38,0.235,3,0,0,0,0.0,0.0,TB,545000,No
Diego Castillo,RP,43,0.265,1,0,0,0,0.0,0.0,TB,545000,No
Elieser Hernandez,RP,32,0.199,11,0,0,0,0.0,0.0,MIA,1090000,No
Brett Graves,RP,21,0.13,2,0,0,0,0.0,0.0,MIA,1090000,No
Enyel De Los Santos,SP,7,0.043,3,0,0,0,0.0,0.0,PHI,545000,No
Yoshihisa Hirano,RP/CL,75,0.463,1,0,0,0,0.0,0.0,ARI,3000000,No
Kazuhisa Makita,RP,27,0.167,3,0,0,0,0.0,0.0,SD,1900000,No
Drew Gagnon,SP,5,0.031,1,0,0,1,0.0,0.0,NYM,545000,No
Harrison Musgrave,RP,35,0.215,3,0,0,0,0.0,0.0,COL,545000,No
Justin Hancock,RP,10,0.061,2,0,0,0,0.0,0.0,CHC,545000,No
Tim Peterson,RP,22,0.136,2,0,0,0,0.0,0.0,NYM,545000,No
