Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
SD,0.0,2016,6,1,23,529,5,25,5,13,32,San Diego Padres,ATL,California,0,0,24,161,576,Edwin Jackson,0.569,0.32376099999999997,2,210,5,0.217,0.047089,0.149,0.022201,SP,0.422360248447205,2,4,UFA,507500,507500,216294,9.48,89.8704,507500,12120000,507500,68,-0.19,0.0361,0,13.137251989898079,13.137251989898079,12.284393872305369
PIT,6.2,2016,6,0,116,13456,31,961,2,10,30,Pittsburgh Pirates,MIN,Pennsylvania,0,0,60,160,3600,Eric Fryer,0.655,0.42902500000000005,9,215,17,0.267,0.071289,0.37,0.1369,C,0.4875,13,169,UFA,507500,507500,252343,0.0,0.0,0,25150000,0,78,-0.3,0.09,5,13.137251989898079,13.137251989898079,12.438544552132628
MIN,6.2,2015,6,4,5,25,0,0,1,4,33,Minnesota Twins,ATL,Minnesota,0,0,30,161,900,Ervin Santana,0.0,0.0,6,175,14,0.0,0.0,0.185,0.034225,SP,0.3602484472049689,0,0,UFA,13500000,13500000,13500000,64.0,4096.0,55000000,1900000,13750000,58,3.85,14.822500000000002,3,16.41820024340866,16.41820024340866,16.41820024340866
BOS,6.1,2016,6,1,1,1,0,0,1,6,30,Boston Red Sox,OAK,Massachusetts,0,0,57,161,3249,Fernando Abad,0.0,0.0,13,220,22,0.0,0.0,0.352,0.12390399999999999,RP,0.577639751552795,0,0,UFA,507500,507500,174699,31.0,961.0,0,230000000,0,93,-0.27,0.0729,8,13.137251989898079,13.137251989898079,12.070819772007312
TOR,6.3,2015,6,3,42,1764,12,144,1,13,32,Toronto Blue Jays,PIT,Toronto,1,1,33,161,1089,Francisco Liriano,0.667,0.44488900000000003,2,218,7,0.286,0.08179599999999998,0.204,0.04161599999999999,RP,0.546583850931677,5,25,UFA,13666666,13000000,4475409,0.0,0.0,39000000,65800000,13000000,88,-0.44,0.1936,2,16.430470287219983,16.38045991542581,15.314108302162719
SEA,6.2,2016,6,1,248,61504,61,3721,1,8,33,Seattle Mariners,SEA,Washington,14,196,98,161,9604,Franklin Gutierrez,0.78,0.6084,0,200,4,0.246,0.060516,0.605,0.366025,CF,0.5341614906832298,39,1521,UFA,2500000,1500000,2500000,37.57,1411.5049000000001,1500000,35100000,1500000,86,0.32,0.1024,0,14.73180128983843,14.22097566607244,14.73180128983843
TOR,6.4,2016,6,1,1,1,0,0,1,13,33,Toronto Blue Jays,CLE,Toronto,0,0,28,161,784,Gavin Floyd,0.0,0.0,2,235,7,0.0,0.0,0.173,0.029928999999999997,RP,0.546583850931677,0,0,UFA,1000000,1000000,1000000,0.0,0.0,1000000,65800000,1000000,88,0.22,0.0484,2,13.815510557964274,13.815510557964274,13.815510557964274
LAA,6.1,2016,6,1,78,6084,21,441,5,9,33,Los Angeles Angels,CHW,California,4,16,26,161,676,Geovany Soto,0.809,0.6544810000000001,1,220,10,0.269,0.07236100000000001,0.161,0.025921000000000003,C,0.453416149068323,9,81,UFA,2800000,2800000,2800000,0.0,0.0,2800000,12525000,2800000,73,0.37,0.1369,1,14.845129975145433,14.845129975145433,14.845129975145433
SF,0.0,2016,6,1,245,60025,52,2704,5,8,29,San Francisco Giants,CHW,California,5,25,88,161,7744,Gordon Beckham,0.633,0.400689,23,190,26,0.212,0.044944,0.547,0.29920900000000006,2B,0.5341614906832298,31,961,UFA,1250000,1250000,40983,0.0,0.0,1250000,251000000,1250000,86,-0.56,0.31360000000000005,8,14.038654109278484,14.038654109278484,10.620912625555597
BOS,6.2,2015,6,4,549,301401,157,24649,1,6,32,Boston Red Sox,LAD,Massachusetts,30,900,147,161,21609,Hanley Ramirez,0.866,0.749956,13,235,22,0.286,0.08179599999999998,0.907,0.8226490000000001,DH,0.577639751552795,111,12321,UFA,22750000,22000000,22750000,57.74,3333.9076000000005,88000000,230000000,22000000,93,2.83,8.0089,8,16.940075703361234,16.90655301132259,16.940075703361234
