Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Michael Feliz,RP,46,0.284,1,0,0,0,0.0,0.0,HOU,546200
Justin Nicolino,RP,20,0.124,11,0,0,0,0.0,0.0,MIA,535000
Gabriel Ynoa,SP,9,0.056,1,0,0,0,0.0,0.0,BAL,535000
Luke Jackson,RP,43,0.265,2,0,0,0,0.0,0.0,ATL,535000
Ryan Tepera,RP,73,0.451,1,0,0,0,0.0,0.0,TOR,542700
Josh Smoker,RP,54,0.333,3,0,0,0,0.0,0.0,NYM,536625
Lance McCullers,SP,22,0.136,3,0,0,0,0.0,0.0,HOU,548000
Josh Ravin,RP,14,0.086,1,0,0,0,0.0,0.0,LAD,545000
Matt Wisler,RP,20,0.124,2,0,0,0,0.0,0.0,ATL,535000
Erick Fedde,SP,3,0.019,4,0,0,0,0.0,0.0,WSH,535000
Jack Flaherty,SP,6,0.037,6,0,0,0,0.0,0.0,STL,535000
A.J. Reed,1B,2,0.012,6,0,0,0,0.0,0.0,HOU,535000
Cody Reed,RP,12,0.074,2,0,0,0,0.0,0.0,CIN,537000
Brian Ellington,RP,42,0.259,1,0,0,0,0.0,0.0,MIA,535000
Kyle Barraclough,RP,66,0.407,1,0,0,0,0.0,0.0,MIA,536500
John Gant,SP,7,0.043,3,0,0,0,0.0,0.0,STL,536600
Michael Fulmer,SP,25,0.154,5,0,0,0,0.0,0.0,DET,551900
Steven Okert,RP,44,0.272,1,0,0,0,0.0,0.0,SF,536500
Edubray Ramos,RP,60,0.37,1,0,0,0,0.0,0.0,PHI,540000
Blake Snell,SP,24,0.148,5,0,0,0,0.0,0.167,TB,545000
Austin Brice,RP,22,0.136,4,0,0,0,0.0,0.0,CIN,535000
Nick Wittgren,RP,38,0.235,4,0,0,0,0.0,0.0,MIA,535000
Johnny Barbato,RP,24,0.148,1,0,0,0,0.0,0.0,PIT,535000
Jharel Cotton,SP,24,0.148,2,0,0,0,0.0,0.0,OAK,535000
Joe Musgrove,SP,38,0.235,5,0,0,0,0.0,0.0,HOU,543400
Deck McGuire,SP,6,0.037,3,0,0,1,0.0,0.0,CIN,535000
Joseph Biagini,SP,44,0.272,2,0,0,1,0.0,0.0,TOR,535000
Braden Shipley,SP,10,0.062,6,0,0,0,0.0,0.0,ARI,535000
Chris Smith,RP,14,0.086,1,0,0,0,0.0,0.0,OAK,535000
Chris O'Grady,SP,13,0.08,8,0,0,0,0.0,0.0,MIA,535000
Chris Devenski,RP,62,0.383,1,0,0,0,0.0,0.0,HOU,554500
Sean Manaea,SP,29,0.179,3,0,0,0,0.0,0.25,OAK,537500
Junior Guerra,SP,21,0.13,16,0,0,0,0.0,0.0,MIL,546200
Albert Suarez,RP,18,0.111,2,0,0,0,0.0,0.0,SF,535000
Edwin Diaz,RP/CL,66,0.407,1,0,0,0,0.0,0.0,SEA,545000
Ariel Miranda,SP,32,0.198,6,0,0,0,0.0,0.0,SEA,540500
Alberto Rosario,C,3,0.019,3,0,0,0,0.0,0.0,STL,535000
James Hoyt,P,43,0.265,1,0,0,0,0.0,0.0,HOU,535000
Felix Pena,RP,25,0.154,3,0,0,0,0.0,0.25,CHC,535000
Casey Lawrence,P,27,0.167,2,0,0,0,0.0,0.0,SEA,535000
Anthony Banda,RP,8,0.049,5,0,0,0,0.0,0.0,ARI,535000
Max Fried,RP,10,0.062,7,0,0,0,0.0,0.125,ATL,535000
Jake Junis,SP,20,0.124,3,0,0,0,0.0,0.0,KC,535000
Ricardo Pinto,RP,26,0.161,1,0,0,0,0.0,0.0,PHI,535000
Paul Blackburn,SP,10,0.062,3,0,0,0,0.0,0.0,OAK,535000
Josh Hader,RP/CL,35,0.216,4,0,0,0,0.0,0.0,MIL,535000
Miguel Diaz,P,31,0.191,3,0,0,0,0.0,0.0,SD,535000
Dylan Covey,SP,18,0.111,1,0,0,0,0.0,0.0,CHW,535000
Austin Bibens-Dirkx,P,24,0.148,3,0,0,0,0.0,0.0,TEX,535000
Hoby Milner,RP,37,0.228,2,0,0,0,0.0,0.0,PHI,535000
Ariel Hernandez,RP,19,0.117,2,0,0,0,0.0,0.0,CIN,535000
Paul Sewald,RP/CL,57,0.352,2,0,0,0,0.0,0.0,NYM,535000
Jordan Montgomery,SP,29,0.179,3,0,0,0,0.0,0.4,NYY,535000
Emilio Pagan,RP,34,0.21,2,0,0,0,0.0,0.0,SEA,535000
Hector Velazquez,P,8,0.049,1,0,0,0,0.0,0.0,BOS,535000
John Brebbia,RP,50,0.309,1,0,0,0,0.0,0.0,STL,535000
Jimmy Yacabonis,P,14,0.086,2,0,0,1,0.0,0.0,BAL,535000
Chasen Bradford,RP,28,0.173,1,0,0,0,0.0,0.0,NYM,535000
Yacksel Rios,P,13,0.08,1,0,0,0,0.0,0.0,PHI,535000
Dillon Peters,SP,6,0.037,9,0,0,0,0.0,0.0,MIA,535000
Luiz Gohara,SP,5,0.031,9,0,0,0,0.0,0.0,ATL,535000
Jen-Ho Tseng,P,2,0.012,1,0,0,1,0.0,0.0,CHC,535000
Aaron Wilkerson,SP,3,0.019,4,0,0,0,0.0,0.0,MIL,535000
Tim Locastro,2B,3,0.019,1,0,0,0,0.0,0.0,LAD,535000
