Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Adam Rosales,0.417,12,0.191,0.586,TEX,700000
Pedro Ciriaco,0.346,8,0.224,0.615,KC,502500
Austin Romine,0.37,10,0.207,0.551,NYY,490000
Andrew Romine,0.29,10,0.259,0.595,LAA,492500
Marc Krauss,0.321,13,0.209,0.633,HOU,490000
Ramiro Pena,0.309,12,0.278,0.773,ATL,550000
Luis Jimenez,0.21,5,0.26,0.608,LAA,490000
Josmil Pinto,0.13,12,0.342,0.963,MIN,490000
Nolan Reimold,0.247,12,0.195,0.586,BAL,1000000
Michael McKenry,0.253,14,0.219,0.615,PIT,505000
Danny Espinosa,0.272,12,0.158,0.465,WSH,526250
Mike Baxter,0.457,4,0.189,0.553,NYM,500318
Tony Cruz,0.315,13,0.203,0.533,STL,503000
Zoilo Almonte,0.21,9,0.236,0.576,NYY,490000
Chris Dickerson,0.346,11,0.235,0.666,BAL,490000
Alexi Casilla,0.383,10,0.214,0.563,BAL,1700000
Jimmy Paredes,0.296,10,0.192,0.479,HOU,490000
Ryan Lavarnway,0.154,14,0.299,0.758,BOS,495000
Nick Noonan,0.383,5,0.219,0.499,SF,490000
Juan Perez,0.21,8,0.258,0.65,SF,490000
Josh Harrison,0.37,14,0.25,0.699,PIT,503000
Dee Gordon,0.235,6,0.234,0.612,LAD,501000
Josh Thole,0.278,8,0.175,0.497,TOR,1250000
Jesus Montero,0.179,9,0.208,0.59,SEA,503300
Kevin Pillar,0.222,13,0.206,0.583,TOR,490000
Wilmer Flores,0.167,13,0.211,0.542,NYM,490000
Travis d'Arnaud,0.191,5,0.202,0.548,NYM,490000
Leury Garcia,0.276,2,0.198,0.475,CHW,490000
Jake Marisnick,0.247,5,0.184,0.478,MIA,490000
Tommy Medica,0.117,11,0.26,0.747,SD,490000
Yasmani Grandal,0.173,9,0.216,0.693,SD,1237500
Abraham Almonte,0.154,9,0.264,0.715,SEA,490000
George Kottaras,0.284,12,0.18,0.719,KC,1000000
Jackie Bradley Jr.,0.228,10,0.19,0.617,BOS,490000
Matt Davidson,0.191,12,0.237,0.768,ARI,490000
Marcus Semien,0.13,7,0.261,0.673,CHW,490000
Reid Brignac,0.284,6,0.185,0.48,COL,499000
Roger Kieschnick,0.235,5,0.202,0.521,SF,490000
Joey Terdoslavich,0.34,4,0.215,0.581,ATL,490000
Rene Rivera,0.142,7,0.254,0.596,SD,490000
Guillermo Quiroz,0.265,6,0.186,0.539,SF,575000
Henry Urrutia,0.148,2,0.276,0.586,BAL,490000
Chris Owings,0.124,5,0.291,0.742,ARI,490000
Adam Wainwright,0.216,6,0.211,0.476,STL,12150000
Clayton Kershaw,0.216,10,0.182,0.501,LAD,11250000
Francisco Cervelli,0.105,8,0.269,0.877,NYY,515350
Chris Valaika,0.136,9,0.219,0.605,MIA,495000
Travis Wood,0.228,8,0.222,0.639,CHC,527500
Tony Sanchez,0.136,5,0.233,0.688,PIT,490000
Andrew Cashner,0.21,3,0.245,0.58,SD,500800
Julio Teheran,0.185,2,0.224,0.526,ATL,490000
Hernan Perez,0.21,5,0.197,0.445,DET,490000
Yovani Gallardo,0.204,4,0.211,0.561,MIL,8000000
Derek Jeter,0.105,7,0.191,0.542,NYY,17000000
Josh Wilson,0.185,4,0.2,0.562,ARI,650000
Mike Leake,0.191,2,0.191,0.469,CIN,3060000
Jhoulys Chacin,0.198,7,0.191,0.475,COL,1650000
Darin Mastroianni,0.185,5,0.185,0.444,MIN,500000
Tyler Chatwood,0.161,7,0.3,0.658,COL,490000
Brock Holt,0.161,11,0.203,0.513,BOS,490000
Hyun-Jin Ryu,0.185,5,0.207,0.526,LAD,3408333
Doug Bernier,0.204,5,0.226,0.622,TEX,490000
Matt den Dekker,0.167,6,0.207,0.546,NYM,490000
Cliff Lee,0.21,6,0.183,0.443,PHI,25050000
Jose Fernandez,0.173,5,0.22,0.556,MIA,490000
Xander Bogaerts,0.111,5,0.25,0.684,BOS,490000
Cole Hamels,0.204,5,0.179,0.439,PHI,20500000
Taylor Teagarden,0.142,5,0.167,0.48,BAL,650000
Mike Minor,0.198,6,0.164,0.42,ATL,505000
