Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Zac Gallen,SP,15,15,80.0,62,26,25,36,96,3,6,0,1.23,2.81,ARI,555000
David Hess,RP,23,14,80.0,94,73,63,30,68,1,10,0,1.55,7.09,BAL,563500
Julio Urias,RP,37,8,79.7,59,28,22,27,85,4,3,4,1.08,2.49,LAD,565000
Nick Ramirez,RP,46,0,79.7,76,45,36,35,74,5,4,0,1.39,4.07,DET,555000
Josh Tomlin,RP,51,1,79.3,82,35,33,7,51,2,1,2,1.12,3.74,ATL,1000000
Jordan Yamamoto,P,16,15,78.7,54,42,39,36,82,4,5,0,1.14,4.46,MIA,555000
Marcus Walden,RP,70,0,78.0,61,38,33,32,76,9,2,2,1.19,3.81,BOS,555000
Erick Fedde,RP,21,12,78.0,81,39,39,33,41,4,2,0,1.46,4.5,WSH,555000
Jacob Waguespack,SP,16,13,78.0,75,43,38,29,63,5,5,0,1.33,4.39,TOR,555000
Ryne Stanek,RP,65,27,77.0,61,39,34,39,89,0,5,1,1.3,3.97,MIA,564200
Tyler Chatwood,RP,41,5,76.7,65,33,32,37,74,5,3,2,1.33,3.76,CHC,12500000
Chris Stratton,SP,35,5,76.0,93,50,47,33,69,1,3,0,1.66,5.57,PIT,567500
Josh Hader,RP/CL,61,0,75.7,41,24,22,20,138,3,5,37,0.81,2.62,MIL,687600
Collin McHugh,RP,35,8,74.7,62,41,39,30,82,4,5,0,1.23,4.7,HOU,5800000
Giovanny Gallegos,RP/CL,67,0,74.0,44,19,19,16,93,3,2,1,0.81,2.31,STL,555000
Miguel Castro,RP,65,0,73.3,63,42,38,41,71,1,3,2,1.42,4.66,BAL,569000
Dario Agrazal,SP,15,14,73.3,82,43,40,18,41,4,5,0,1.36,4.91,PIT,555000
Dinelson Lamet,SP,14,14,73.0,62,38,33,30,105,3,5,0,1.26,4.07,SD,566700
Thomas Pannone,RP,37,7,73.0,73,51,50,31,69,3,6,0,1.42,6.16,TOR,560100
Dylan Cease,SP,15,15,73.0,78,51,46,35,81,4,7,0,1.55,5.67,CHW,555000
Hansel Robles,RP,71,1,72.7,58,20,20,16,75,5,1,23,1.02,2.48,LAA,1400000
Luke Jackson,RP,71,0,72.7,76,34,31,26,106,9,2,18,1.4,3.84,ATL,585000
John Brebbia,RP,66,0,72.7,59,31,29,27,87,3,4,0,1.18,3.59,STL,569300
Ty Buttrey,RP,72,0,72.3,69,34,32,23,84,6,7,2,1.27,3.98,LAA,557250
Luis Perdomo,RP,47,1,72.0,69,34,32,18,55,2,4,0,1.21,4.0,SD,555000
Bryan Shaw,RP,70,1,72.0,69,44,43,29,58,3,2,1,1.36,5.38,COL,8500000
Carlos Estevez,RP/CL,71,0,72.0,70,34,30,23,81,2,2,0,1.29,3.75,COL,555000
Dillon Peters,SP,17,13,72.0,85,50,43,26,55,4,4,0,1.54,5.38,LAA,555000
Felix Hernandez,SP,15,15,71.7,85,58,51,25,57,1,8,0,1.53,6.41,SEA,27857142
Archie Bradley,CL,66,1,71.7,67,30,28,36,87,4,5,18,1.44,3.52,ARI,1830000
Brandon Workman,RP,73,0,71.7,29,18,15,45,104,10,1,16,1.03,1.88,BOS,1150000
Jared Hughes,RP,72,0,71.3,57,37,32,27,54,5,5,1,1.18,4.04,PHI,2125000
Wander Suero,RP,78,0,71.3,64,36,36,26,81,6,9,1,1.26,4.54,WSH,562500
Matt Andriese,RP,54,0,70.7,72,37,37,27,79,5,5,1,1.4,4.71,ARI,920000
Framber Valdez,RP,26,8,70.7,74,51,46,44,68,4,7,0,1.67,5.86,HOU,566600
Scott Barlow,P,61,0,70.3,64,33,33,37,92,3,3,1,1.44,4.22,KC,650000
Francisco Liriano,RP,69,0,70.0,60,32,27,35,63,5,3,0,1.36,3.47,PIT,1800000
Jeff Hoffman,SP,18,15,70.0,77,51,51,34,68,2,6,0,1.59,6.56,COL,555000
Emilio Pagan,RP,66,0,70.0,45,19,18,13,96,4,2,20,0.83,2.31,TB,555000
Ross Detwiler,RP,18,12,69.7,86,54,51,27,46,3,5,0,1.62,6.59,CHW,555000
Pedro Baez,RP,71,0,69.7,43,30,24,23,69,7,2,1,0.95,3.1,LAD,2100000
Taylor Rogers,RP/CL,60,0,69.0,58,20,20,11,90,2,4,30,1.0,2.61,MIN,1525000
Chris Devenski,RP,61,1,69.0,69,39,37,21,72,2,3,0,1.3,4.83,HOU,1525000
Chad Green,RP,54,15,69.0,66,35,32,19,98,4,4,2,1.23,4.17,NYY,598650
Jose Leclerc,RP,70,3,68.7,52,34,33,39,100,2,4,14,1.33,4.33,TEX,1500000
Diego Castillo,RP,66,6,68.7,59,32,26,26,81,5,8,8,1.24,3.41,TB,561500
Wei-Yin Chen,RP,45,0,68.3,87,54,50,18,63,0,1,0,1.54,6.59,MIA,20000000
Sean Newcomb,RP,55,4,68.3,61,28,24,29,65,6,3,1,1.32,3.16,ATL,575000
Edwin Jackson,SP,18,13,67.7,105,81,72,32,52,3,10,0,2.03,9.58,DET,555000
Javy Guerra,RP,51,0,67.7,67,36,35,17,57,3,1,2,1.24,4.66,WSH,800000
Noe Ramirez,RP,51,6,67.7,59,30,30,20,79,5,4,0,1.17,3.99,LAA,569000
Buck Farmer,RP,73,1,67.7,62,32,28,24,73,6,6,0,1.27,3.72,DET,570800
Hector Neris,RP,68,0,67.7,45,24,22,24,89,3,6,28,1.02,2.93,PHI,1800000
Josh Osich,RP,57,0,67.7,62,38,35,15,61,4,0,0,1.14,4.66,CHW,555000
Aaron Bummer,RP,58,0,67.7,43,17,16,24,60,0,0,1,0.99,2.13,CHW,555000
Mark Melancon,RP/CL,67,0,67.3,71,28,27,18,68,5,2,12,1.32,3.61,ATL,19000000
