Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Erick Fedde,SP,29,27,133.3,144,90,81,48,128,7,9,0,1.44,5.47,WSH,575000
Trevor Rogers,SP,26,25,133.0,107,46,39,46,157,7,8,0,1.15,2.64,MIA,570500
Shohei Ohtani,SP,158,149,130.3,98,48,46,44,156,9,2,0,1.09,3.18,LAA,3000000
Kris Bubic,SP,29,20,130.0,121,67,64,59,114,6,7,0,1.38,4.43,KC,570500
Blake Snell,SP,27,27,128.7,101,61,60,69,170,7,6,0,1.32,4.2,SD,11100000
Ian Anderson,SP,24,24,128.3,105,51,51,53,124,9,5,0,1.23,3.58,ATL,575500
Brady Singer,SP,27,27,128.3,146,81,70,53,131,5,10,0,1.55,4.91,KC,593700
Matt Harvey,SP,28,28,127.7,160,96,89,37,95,6,14,0,1.54,6.27,BAL,1000000
Adbert Alzolay,SP,30,21,125.7,112,66,64,34,128,5,13,1,1.16,4.58,CHC,573000
Kolby Allard,SP,32,17,124.7,128,80,75,31,104,3,12,0,1.27,5.41,TEX,584250
JT Brubaker,SP,25,24,124.3,123,75,74,38,129,5,13,0,1.29,5.36,PIT,590500
Shane McClanahan,SP,25,25,123.3,120,49,47,37,141,10,6,0,1.27,3.43,TB,570500
Clayton Kershaw,SP,24,22,121.7,103,51,48,21,144,10,8,0,1.02,3.55,LAD,31000000
Jorge Lopez,SP,33,25,121.7,142,83,82,56,112,3,14,0,1.63,6.07,BAL,586750
Zac Gallen,SP,23,23,121.3,108,61,58,49,139,4,10,0,1.29,4.3,ARI,607500
Kyle Freeland,SP,25,23,120.7,133,59,58,38,105,7,8,0,1.42,4.33,COL,5025000
James Kaprielian,SP,24,21,119.3,105,55,54,41,123,8,5,0,1.22,4.07,OAK,570500
Logan Gilbert,SP,24,24,119.3,112,63,62,28,128,6,5,0,1.17,4.68,SEA,570500
Alec Mills,SP,33,20,119.0,137,75,67,34,87,6,7,1,1.44,5.07,CHC,600000
Eric Lauer,SP,26,20,118.7,94,46,42,41,117,7,5,0,1.14,3.19,MIL,570500
Dane Dunning,SP,27,25,117.7,126,61,59,43,114,5,10,0,1.44,4.51,TEX,572500
Wil Crowe,SP,29,25,116.7,126,75,71,57,111,4,8,0,1.57,5.48,PIT,574000
Austin Gomber,SP,24,23,115.3,102,64,58,41,113,9,9,0,1.24,4.53,COL,575500
Johnny Cueto,SP,22,21,114.7,127,57,52,30,98,7,7,0,1.37,4.08,SF,21000000
Martin Perez,RP,36,22,114.0,136,71,60,36,97,7,8,0,1.51,4.74,BOS,4500000
Vladimir Gutierrez,SP,22,22,114.0,115,61,60,46,88,9,6,0,1.41,4.74,CIN,570500
Caleb Smith,SP,45,13,113.7,93,64,61,63,124,4,9,0,1.37,4.83,ARI,1386240
Alek Manoah,SP,20,20,111.7,77,44,40,40,127,9,2,0,1.05,3.22,TOR,570500
