"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023","Age","Weight","Height",""
"","Ryne Stanek","RP","HOU","59","0","54.7","36","8","7","31","62","2","1","1","1.23","1.15","2.11","73.81","$4,065,644","30","226","6'4""",""
"","Andrew Bellatti","RP","PHI","59","1","54.3","47","25","20","25","78","4","4","2","1.33","3.31","0.83","44.87","$0","30","190","6'1""",""
"","Diego Castillo","RP","SEA","59","0","54.3","40","27","22","22","53","7","3","7","1.14","3.64","-0.09","48.42","$3,083,737","28","250","6'3""",""
"","Alex Vesia","RP","LAD","63","0","54.3","37","14","13","24","79","5","0","1","1.12","2.15","1.51","76.54","$0","26","209","6'1""",""
"","Matt Festa","RP","SEA","53","0","54.0","43","26","25","18","64","2","0","2","1.13","4.17","0.21","26.14","$0","29","195","6'2""",""
"","Brooks Raley","RP","TB","60","0","53.7","37","19","16","15","61","1","2","7","0.97","2.68","1.07","52.43","$4,500,000","34","200","6'3""",""
"","Dylan Floro","RP/CL","MIA","56","0","53.7","48","23","18","15","48","1","3","10","1.17","3.02","0.71","53.33","$3,900,000","31","203","6'2""",""
"","Jackson Stephens","RP","ATL","39","1","53.7","49","32","22","23","47","3","3","2","1.34","3.69","0.18","0.00","$740,000","28","220","6'2""",""
"","Lou Trivino","RP","NYY","64","0","53.7","64","31","27","24","67","2","8","11","1.64","4.53","-0.90","5.31","$4,100,000","30","235","6'5""",""
"","Erik Swanson","RP","SEA","57","1","53.7","39","11","10","10","70","3","2","3","0.91","1.68","1.61","80.26","$1,601,392","28","220","6'3""",""
"","Enyel De Los Santos","RP","CLE","50","0","53.3","40","18","18","17","61","5","0","1","1.07","3.04","0.70","64.74","$0","26","170","6'3""",""
"","Steven Wilson","RP","SD","50","1","53.0","36","20","18","20","53","4","2","1","1.06","3.06","0.86","63.72","$0","27","185","6'3""",""
"","Tucker Davidson","SP","LAA","12","11","52.0","54","39","39","35","33","2","7","0","1.71","6.75","-0.22","0.00","$0","26","215","6'2""",""
"","David Bednar","RP/CL","PIT","45","0","51.7","42","19","15","16","69","3","4","19","1.12","2.61","1.24","0.00","$0","27","249","6'1""",""
"","Steven Okert","RP","MIA","60","0","51.3","34","19","17","26","63","5","5","0","1.17","2.98","0.91","45.19","$0","30","210","6'3""",""
"","John King","RP","TEX","39","0","51.3","61","27","23","14","30","1","4","0","1.46","4.03","0.09","0.00","$0","27","215","6'2""",""
"","Jose Alvarado","RP","PHI","59","0","51.0","38","21","18","24","81","4","2","2","1.22","3.18","1.00","51.52","$4,007,410","27","245","6'2""",""
"","Seranthony Dominguez","RP/CL","PHI","54","0","51.0","36","18","17","22","61","6","5","9","1.14","3.00","1.69","85.25","$2,574,569","27","185","6'1""",""
"","Michael King","RP","NYY","34","0","51.0","35","15","13","16","66","6","3","1","1.00","2.29","1.84","0.00","$1,750,000","27","210","6'3""",""
"","Rony Garcia","SP","DET","16","8","51.0","40","27","25","13","48","3","3","0","1.04","4.41","0.10","27.82","$1,000,000","24","200","6'3""",""
"","Richard Bleier","RP","MIA","55","1","50.7","63","22","20","10","32","2","2","1","1.44","3.55","0.61","17.71","$3,500,000","35","215","6'3""",""
"","Dylan Lee","RP","ATL","46","0","50.7","40","16","12","10","59","5","1","0","0.99","2.13","1.34","0.00","$0","27","210","6'4""",""
"","Matt Brash","RP","SEA","39","5","50.7","46","25","25","33","62","4","4","0","1.56","4.44","0.08","0.00","$0","24","170","6'1""",""
"","Ian Kennedy","RP","ARI","57","0","50.3","57","33","30","22","44","4","7","10","1.57","5.36","-1.25","2.02","$0","37","205","6'0""",""
"","Joely Rodriguez","RP","NYM","55","0","50.3","42","28","25","26","57","2","4","0","1.35","4.47","-0.25","19.26","$1,500,000","30","200","6'1""",""
"","Andrew Wantz","RP","LAA","42","1","50.3","37","19","18","21","52","2","1","0","1.15","3.22","0.79","0.00","$0","26","235","6'4""",""
"","Josh Hader","RP/CL","SD","56","0","50.0","43","30","29","21","81","2","4","36","1.28","5.22","-0.05","14.64","$12,500,000","28","180","6'3""",""
"","Brett Martin","RP","TEX","55","1","50.0","50","27","23","18","40","1","7","3","1.36","4.14","-0.07","22.75","$1,705,548","27","190","6'4""",""
"","Brusdar Graterol","RP","LAD","46","1","49.7","39","20","18","10","43","2","4","4","0.99","3.26","0.56","0.00","$986,037","23","265","6'1""",""
"","Taylor Clarke","RP","KC","47","0","49.0","50","25","22","8","48","3","1","3","1.18","4.04","0.55","0.00","$1,263,473","29","217","6'4""",""
"","Tim Mayza","RP","TOR","63","0","48.7","42","19","17","12","44","8","1","2","1.11","3.14","0.59","44.26","$2,229,295","30","220","6'3""",""
"","Ryan Pressly","RP/CL","HOU","50","0","48.3","30","17","16","13","65","3","3","33","0.89","2.98","0.80","55.12","$14,000,000","33","206","6'2""",""
"","Jake Woodford","RP","STL","27","1","48.3","43","13","12","11","24","4","0","0","1.12","2.23","0.70","0.00","$0","25","220","6'4""",""
"","Steven Matz","RP","STL","15","10","48.0","50","28","28","10","54","5","3","0","1.25","5.25","-0.37","0.00","$10,000,000","31","201","6'2""",""
"","Zach Jackson","RP/CL","OAK","0","0","48.0","28","18","16","33","67","2","3","3","1.27","3.00","0.95","0.00","$0","27","0","0'0""",""
"","Cory Abbott","SP","WSH","16","9","48.0","44","30","28","25","45","0","5","0","1.44","5.25","0.13","0.00","$0","26","210","6'1""",""
"","Tim Hill","RP","SD","55","0","48.0","45","20","19","14","25","3","0","0","1.23","3.56","0.29","56.51","$1,615,228","32","200","6'4""",""
"","Yunior Marte","RP","SF","39","0","48.0","47","32","29","22","44","1","1","0","1.44","5.44","-0.44","0.00","$0","27","180","6'2""",""
"","Lance McCullers","SP","HOU","8","8","47.7","37","12","12","22","50","4","2","0","1.24","2.27","1.45","0.00","$15,250,000","28","202","6'1""",""
"","Jose Leclerc","RP/CL","TEX","39","0","47.7","33","17","15","21","54","0","3","7","1.13","2.83","0.96","0.00","$6,000,000","28","190","6'0""",""
"","Jacob Bird","RP","COL","38","0","47.7","45","29","26","23","42","2","4","0","1.43","4.91","0.00","0.00","$0","26","0","0'0""",""
"","Robert Suarez","RP","SD","45","0","47.7","29","13","12","21","61","5","1","1","1.05","2.27","1.36","0.00","$10,000,000","31","0","0'0""",""
"","Tylor Megill","RP","NYM","15","9","47.3","46","27","27","13","51","4","2","0","1.25","5.13","-0.08","0.00","$0","26","230","6'7""",""
"","Alex Colome","RP","COL","53","0","47.0","57","36","30","22","32","2","7","4","1.68","5.75","-0.89","1.87","$0","33","225","6'1""",""
"","Buck Farmer","RP","CIN","44","0","47.0","36","21","20","25","54","2","2","2","1.30","3.83","0.71","0.00","$1,750,000","31","232","6'4""",""
